siglaTribunal;grau;classeProcessual;codigoLocalidade;numero;orgaoJulgador_codigoOrgao;assunto_codigoNacional;NATUREZA;Porte;duracao_F2;mes_ajuizamento;NATUREZA (#1);Count*(duracao_F2);Mean(duracao_F2);Median(duracao_F2);G1;G2;JE;TR;CRIMINAL;CIVIL;JUIZADOS;EXECUTIVOS;OUTROS;PEQUENO;MÉDIO;GRANDE
TJAP;G1;7;1600055;4798520128030010;16409;9045;CIVIL;PEQUENO;93;12;CIVIL;48;256.3749999999999;231;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600055;4798520128030010;16409;9045;CIVIL;PEQUENO;93;12;CIVIL;48;256.3749999999999;231;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600055;4798520128030010;16409;10433;CIVIL;PEQUENO;93;12;CIVIL;26;309.34615384615387;216.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600154;1602520098030010;16409;899;CIVIL;PEQUENO;75;3;CIVIL;46;180.39130434782604;24;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600154;101807020128030016;16409;8826;CIVIL;PEQUENO;110;2;CIVIL;39;286.20512820512823;210;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600154;101807020128030016;16409;10435;CIVIL;PEQUENO;110;2;CIVIL;3;73.66666666666666;110;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600204;6999720098030007;6151;899;CIVIL;PEQUENO;494;9;CIVIL;46;180.39130434782604;24;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600204;4897520118030007;6151;9045;CIVIL;PEQUENO;128;6;CIVIL;48;256.3749999999999;231;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600204;4897520118030007;6151;10313;CIVIL;PEQUENO;128;6;CIVIL;3;142;128;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600204;4897520118030007;6151;10313;CIVIL;PEQUENO;128;6;CIVIL;3;142;128;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600204;9371420128030008;6151;7690;CIVIL;PEQUENO;217;11;CIVIL;2;217;217;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600204;9371420128030008;6151;7690;CIVIL;PEQUENO;217;11;CIVIL;2;217;217;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600204;9371420128030008;6151;9045;CIVIL;PEQUENO;217;11;CIVIL;48;256.3749999999999;231;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600238;9291120108030006;6155;8826;CIVIL;PEQUENO;375;8;CIVIL;39;286.20512820512823;210;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600238;9291120108030006;6155;10444;CIVIL;PEQUENO;375;8;CIVIL;6;416.33333333333337;375;1;0;0;0;0;1;0;0;0;1;0;0
