siglaTribunal;grau;classeProcessual;codigoLocalidade;numero;orgaoJulgador_codigoOrgao;assunto_codigoNacional;NATUREZA;Porte;duracao_F1;mes_ajuizamento;NATUREZA (#1);Count*(duracao_F1);Mean(duracao_F1);Median(duracao_F1);G1;G2;JE;TR;CRIMINAL;CIVIL;JUIZADOS;EXECUTIVOS;OUTROS;PEQUENO;MÉDIO;GRANDE
TJAM;G1;7;1302108;250620138045002;5120;7677;CIVIL;PEQUENO;3255;3;CIVIL;37;2075.918918918919;1822;1;0;0;0;0;1;0;0;0;1;0;0
TJAM;G1;7;1302603;6370632420208039900;4795;6007;CIVIL;PEQUENO;81;3;CIVIL;28;1238.607142857143;1008.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAM;G1;7;1302603;6372511720208039900;4790;9575;CIVIL;PEQUENO;34;3;CIVIL;5;1244.4;1279;1;0;0;0;0;1;0;0;0;1;0;0
TJAM;G1;7;1302603;6394415020208039900;4785;9607;CIVIL;PEQUENO;90;3;CIVIL;69;1634.6376811594203;1688;1;0;0;0;0;1;0;0;0;1;0;0
TJAM;G1;7;1302603;6407301820208039900;4787;11811;CIVIL;PEQUENO;63;3;CIVIL;3;75.33333333333333;80;1;0;0;0;0;1;0;0;0;1;0;0
TJAM;G1;7;1302603;6429412720208039900;4799;9585;CIVIL;PEQUENO;117;3;CIVIL;9;1354.2222222222222;1880;1;0;0;0;0;1;0;0;0;1;0;0
TJAM;G1;7;1302603;6435596920208039900;4791;9196;CIVIL;PEQUENO;18;3;CIVIL;28;1915.535714285714;1002.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAM;G1;7;1302603;6436194220208039900;4790;12612;CIVIL;PEQUENO;41;3;CIVIL;7;24.571428571428573;25;1;0;0;0;0;1;0;0;0;1;0;0
TJAM;G1;40;1302603;6367280520208039900;4793;7703;CIVIL;PEQUENO;72;3;CIVIL;603;752.112769485904;105;1;0;0;0;0;1;0;0;0;1;0;0
TJAM;G1;40;1302603;6369368620208039900;4787;7703;CIVIL;PEQUENO;69;3;CIVIL;603;752.112769485904;105;1;0;0;0;0;1;0;0;0;1;0;0
