siglaTribunal;grau;classe;assunto;pct_movs_acima_100_dias;chave
TJAC;G1;1727;3416;0.16666666666666669;TJAC|1727|3416
TJAC;G1;279;;0.11764705882352937;TJAC|279|
TJAC;G1;37;;0.13333333333333336;TJAC|37|
TJAC;G1;386;;0.25;TJAC|386|
TJAC;G2;198;4847;0.14285714285714288;TJAC|198|4847
TJAC;G2;202;9607;0.5;TJAC|202|9607
TJAC;G2;417;3463;0.5;TJAC|417|3463
TJAC;TR;198;899;0.25;TJAC|198|899
TJAC;TR;460;10433;0.18181818181818182;TJAC|460|10433
TJAL;G1;355;3369;0.10000000000000002;TJAL|355|3369
TJAL;G1;355;3633;0.5;TJAL|355|3633
TJAM;G1;111;7681;0.5573770491803279;TJAM|111|7681
TJAM;G1;111;9559;0.26829268292682923;TJAM|111|9559
TJAM;G1;112;6239;0.125;TJAM|112|6239
TJAM;G1;157;10670;0.18750000000000003;TJAM|157|10670
TJAM;G1;1682;4701;0.23809523809523805;TJAM|1682|4701
TJAM;G1;183;9196;0.1111111111111111;TJAM|183|9196
TJAM;G1;261;10500;0.16666666666666669;TJAM|261|10500
TJAM;G1;261;10671;0.10000000000000002;TJAM|261|10671
TJAM;G1;261;7780;0.16666666666666669;TJAM|261|7780
TJAM;G1;261;9160;0.16666666666666666;TJAM|261|9160
TJAM;G1;278;10508;0.3333333333333333;TJAM|278|10508
TJAM;G1;278;3632;0.3333333333333333;TJAM|278|3632
TJAM;G1;278;9895;0.3333333333333333;TJAM|278|9895
TJAM;G1;279;10750;0.10526315789473685;TJAM|279|10750
TJAM;G1;279;10949;0.1111111111111111;TJAM|279|10949
TJAM;G1;279;3370;0.13636363636363638;TJAM|279|3370
TJAM;G1;279;3372;0.10526315789473685;TJAM|279|3372
TJAM;G1;279;3420;0.14285714285714288;TJAM|279|3420
TJAM;G1;279;3431;0.16666666666666666;TJAM|279|3431
TJAM;G1;279;3532;0.10000000000000002;TJAM|279|3532
TJAM;G1;279;3533;0.16666666666666669;TJAM|279|3533
TJAM;G1;279;3608;0.14285714285714288;TJAM|279|3608
TJAM;G1;279;3632;0.125;TJAM|279|3632
TJAM;G1;279;9880;0.14285714285714288;TJAM|279|9880
TJAM;G1;355;10949;0.16666666666666666;TJAM|355|10949
TJAM;G1;355;11417;0.16666666666666669;TJAM|355|11417
TJAM;G1;355;287;0.13235294117647062;TJAM|355|287
TJAM;G1;355;3386;0.16666666666666669;TJAM|355|3386
TJAM;G1;355;3416;0.16666666666666666;TJAM|355|3416
TJAM;G1;355;3417;0.16666666666666669;TJAM|355|3417
TJAM;G1;355;3419;0.16666666666666669;TJAM|355|3419
TJAM;G1;355;3435;0.16666666666666669;TJAM|355|3435
TJAM;G1;355;3443;0.2;TJAM|355|3443
TJAM;G1;355;3465;0.16666666666666669;TJAM|355|3465
TJAM;G1;355;5566;0.16666666666666666;TJAM|355|5566
TJAM;G1;37;9163;0.27272727272727276;TJAM|37|9163
TJAM;G1;39;7687;0.24;TJAM|39|7687
TJAM;G1;7;14;0.2222222222222222;TJAM|7|14
TJAM;G1;7;4949;0.125;TJAM|7|4949
TJAM;G1;7;7677;0.26315789473684215;TJAM|7|7677
TJAM;G1;7;899;0.6666666666666666;TJAM|7|899
TJAM;G1;74;7687;0.16326530612244897;TJAM|74|7687
TJAM;G1;98;7664;0.1458333333333333;TJAM|98|7664
