siglaTribunal;grau;classeProcessual;codigoLocalidade;numero;orgaoJulgador_codigoOrgao;assunto_codigoNacional;NATUREZA;Porte;duracao_F3;mes_ajuizamento;NATUREZA (#1);Count*(duracao_F3);Mean(duracao_F3);Median(duracao_F3);G1;G2;JE;TR;CRIMINAL;CIVIL;JUIZADOS;EXECUTIVOS;OUTROS;PEQUENO;MÉDIO;GRANDE
TJAM;G1;40;1302603;6397220620208039900;4792;7703;CIVIL;PEQUENO;46;3;CIVIL;14;1037.142857142857;1186.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600055;323420118030010;6415;14;CIVIL;PEQUENO;1191;1;CIVIL;1;1191;1191;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600303;217155720118030016;6164;4703;CIVIL;PEQUENO;247;6;CIVIL;6;870.8333333333334;694.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;7;1600303;444221920118030020;6164;7780;CIVIL;PEQUENO;893;12;CIVIL;1;893;893;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;22;1600303;100111320128030000;6167;7703;CIVIL;PEQUENO;441;3;CIVIL;1;441;441;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;39;1600600;37604420108030000;6409;7687;CIVIL;PEQUENO;1483;6;CIVIL;33;1512.1212121212125;1483;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;40;1600303;139812120128030000;6162;7703;CIVIL;PEQUENO;98;4;CIVIL;14;1037.142857142857;1186.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600303;202830320118030016;6166;7770;CIVIL;PEQUENO;84;6;CIVIL;3;58.333333333333336;84;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600303;202830320118030016;6166;8960;CIVIL;PEQUENO;84;6;CIVIL;2;84;84;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600600;15833920128030002;6410;8826;CIVIL;PEQUENO;1356;3;CIVIL;2;1356;1356;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600600;15833920128030002;6410;8826;CIVIL;PEQUENO;1356;3;CIVIL;2;1356;1356;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600204;5162420128030007;6151;7717;CIVIL;PEQUENO;1646;7;CIVIL;28;2728.8214285714284;2203.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;340034220088030020;6164;4970;CIVIL;PEQUENO;1227;11;CIVIL;18;2181.333333333333;1659.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;14957220108030000;6166;4970;CIVIL;PEQUENO;680;1;CIVIL;18;2181.333333333333;1659.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;221990920108030016;6164;4970;CIVIL;PEQUENO;171;6;CIVIL;18;2181.333333333333;1659.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;287751320138030016;6162;4960;CIVIL;PEQUENO;120;6;CIVIL;12;1584.8333333333335;1035.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;360960220138030020;6165;9596;CIVIL;PEQUENO;1418;8;CIVIL;4;911;945;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600600;18033720128030000;6410;9580;CIVIL;PEQUENO;200;3;CIVIL;2;1237;1237;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;198;1600303;245057720128030016;6164;7779;CIVIL;PEQUENO;334;6;CIVIL;2;334;334;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;261;1600154;9350620108030010;16409;14;CIVIL;PEQUENO;1308;12;CIVIL;1;1308;1308;1;0;0;0;0;1;0;0;0;1;0;0
